analysis,price_or_acv,churn,year,revenue,ebitda,professional_arr,team_arr,enterprise_arr,seats,teams,enterprise_logos,revenue_delta_vs_base,ebitda_delta_vs_base
professional_price_vs_churn,31.2,0.12,2030,590744.5619614259,-128479.74167008774,117849.17684846593,39301.635112960015,395625.0,314.76810055680005,7.860327022592004,13.1875,17233.45998446585,13442.098787883355
professional_price_vs_churn,31.2,0.2,2030,553387.95860416,-157617.89228875516,80492.57349120005,39301.635112960015,395625.0,214.9908480000001,7.860327022592004,13.1875,-20123.143372800085,-15696.051830784068
professional_price_vs_churn,31.2,0.28,2030,525706.5625805364,-179209.38118718163,52811.17746757632,39301.635112960015,395625.0,141.0554953728,7.860327022592004,13.1875,-47804.53939642373,-37287.54072921054
professional_price_vs_churn,39.0,0.12,2030,620206.8561735424,-105499.15218463686,147311.47106058244,39301.635112960015,395625.0,314.76810055680005,7.860327022592004,13.1875,46695.75419658236,36422.688273334235
professional_price_vs_churn,39.0,0.2,2030,573511.1019769601,-141921.8404579711,100615.71686400005,39301.635112960015,395625.0,214.9908480000001,7.860327022592004,13.1875,0.0,0.0
professional_price_vs_churn,39.0,0.28,2030,538909.3569474304,-168911.20158100425,66013.9718344704,39301.635112960015,395625.0,141.0554953728,7.860327022592004,13.1875,-34601.74502952967,-26989.36112303316
professional_price_vs_churn,46.8,0.12,2030,649669.150385659,-82518.56269918598,176773.7652726989,39301.635112960015,395625.0,314.76810055680005,7.860327022592004,13.1875,76158.04840869887,59403.277758785116
professional_price_vs_churn,46.8,0.2,2030,593634.24534976,-126225.78862718714,120738.86023680004,39301.635112960015,395625.0,214.9908480000001,7.860327022592004,13.1875,20123.14337279997,15696.051830783952
professional_price_vs_churn,46.8,0.28,2030,552112.1513143245,-158613.02197482693,79216.76620136449,39301.635112960015,395625.0,141.0554953728,7.860327022592004,13.1875,-21398.950662635616,-16691.18151685584
team_acv_vs_churn,4000.0,0.06,2030,575143.197938048,-140648.8056083225,100615.71686400005,40933.731074047995,395625.0,214.9908480000001,10.233432768512,13.1875,1632.0959610879654,1273.0348496485967
team_acv_vs_churn,4000.0,0.12,2030,565650.7749543681,-148052.89553559286,100615.71686400005,31441.308090368013,395625.0,214.9908480000001,7.860327022592004,13.1875,-7860.327022591955,-6131.0550776217715
team_acv_vs_churn,4000.0,0.18,2030,557913.668194688,-154087.83880814334,100615.71686400005,23704.201330688018,395625.0,214.9908480000001,5.926050332672005,13.1875,-15597.43378227204,-12165.998350172245
team_acv_vs_churn,5000.0,0.06,2030,585376.6307065601,-132666.7280488831,100615.71686400005,51167.163842559996,395625.0,214.9908480000001,10.233432768512,13.1875,11865.528729600017,9255.112409088004
team_acv_vs_churn,5000.0,0.12,2030,573511.1019769601,-141921.8404579711,100615.71686400005,39301.635112960015,395625.0,214.9908480000001,7.860327022592004,13.1875,0.0,0.0
team_acv_vs_churn,5000.0,0.18,2030,563839.7185273601,-149465.5195486591,100615.71686400005,29630.251663360024,395625.0,214.9908480000001,5.926050332672005,13.1875,-9671.383449599962,-7543.679090688005
team_acv_vs_churn,6000.0,0.06,2030,595610.063475072,-124684.6504894438,100615.71686400005,61400.596611072,395625.0,214.9908480000001,10.233432768512,13.1875,22098.961498111952,17237.189968527295
team_acv_vs_churn,6000.0,0.12,2030,581371.428999552,-135790.78538034938,100615.71686400005,47161.96213555202,395625.0,214.9908480000001,7.860327022592004,13.1875,7860.327022591955,6131.055077621713
team_acv_vs_churn,6000.0,0.18,2030,569765.7688600321,-144843.20028917497,100615.71686400005,35556.30199603203,395625.0,214.9908480000001,5.926050332672005,13.1875,-3745.333116927999,-2921.359831203881
enterprise_acv_one_way,24000.0,,2030,494386.1019769601,-203639.34045797115,100615.71686400005,39301.635112960015,316500.0,214.9908480000001,7.860327022592004,13.1875,-79125.0,-61717.50000000006
enterprise_acv_one_way,30000.0,,2030,573511.1019769601,-141921.8404579711,100615.71686400005,39301.635112960015,395625.0,214.9908480000001,7.860327022592004,13.1875,0.0,0.0
enterprise_acv_one_way,36000.0,,2030,652636.1019769601,-80204.34045797109,100615.71686400005,39301.635112960015,474750.0,214.9908480000001,7.860327022592004,13.1875,79125.0,61717.5
